Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
2023-01-09,1.297977094,963706.23,141534.29,376635.87,2126.84,363497.42,,,,conventional,BaltimoreWashington
2023-01-09,0.860941807,377791.07,187197.78,7046.43,31.59,70424.69,,,,conventional,BirminghamMontgomery
2023-01-09,0.995287321,110665.1,25877.97,8973.74,171.26,19963.14,,,,conventional,Boise
2023-01-09,1.316078913,614248.45,41337.59,324277.32,63.38,150386.36,,,,conventional,Boston
2023-01-09,1.113446333,190755.76,25154.83,58163.45,1203.11,103401.64,,,,conventional,BuffaloRochester
2023-01-09,1.208541865,334107.94,118684.04,46610.65,630.98,127009.27,,,,conventional,Charlotte
2023-01-09,1.142596406,831326.36,138846.26,89496.67,27155.45,208614.51,,,,conventional,Chicago
2023-01-09,1.014923271,312393.1,41500.16,61848.96,3139.57,66178.78,,,,conventional,CincinnatiDayton
2023-01-09,0.989165601,252900.4,46622.98,29025.82,2496.51,50968.94,,,,conventional,Columbus
2023-01-09,0.809745762,1407571.07,353325.22,113278.27,5421.93,472069.81,,,,conventional,DallasFtWorth
2023-01-09,0.901652284,900792.74,171218.78,133716.73,2784.49,269069.05,,,,conventional,Denver
2023-01-09,1.005040845,437235.09,68409.38,68582.2,20344.06,118902.1,,,,conventional,Detroit
2023-01-09,1.272462323,156059.36,22763.28,35798.83,22912.16,66102.13,,,,conventional,GrandRapids
2023-01-09,1.1059868,382889.51,151960.59,97958.02,13777.67,112528.04,,,,conventional,HarrisburgScranton
2023-01-09,1.417861853,316550.95,15230.17,224600.67,279.01,67585.76,,,,conventional,HartfordSpringfield
2023-01-09,0.792814301,903594.72,254117.28,183356.06,780.25,221035.67,,,,conventional,Houston
2023-01-09,0.918126405,264352.98,50321.7,36021.54,4617.52,62249.45,,,,conventional,Indianapolis
2023-01-09,0.974306474,261366.33,151613.93,4172.58,11.83,48019.87,,,,conventional,Jacksonville
2023-01-09,0.892594215,429063.29,56292.18,39411.2,482.52,126485.29,,,,conventional,LasVegas
2023-01-09,1.162507442,2809927.34,540506.52,17493.66,118721.66,627686.7,,,,conventional,LosAngeles
2023-01-09,0.962876837,144167.28,24588.07,13103.03,1072.06,35038.35,,,,conventional,Louisville
2023-01-09,0.931542362,1049278.45,597482.85,13827.3,201.33,261212.41,,,,conventional,MiamiFtLauderdale
2023-01-09,0.89512993,338921.58,104165.43,17086.94,57.44,93149.54,,,,conventional,Nashville
2023-01-09,1.060136067,474929.08,97735.06,234707.09,18.25,82998.13,,,,conventional,NorthernNewEngland
2023-01-09,0.790332931,332597.48,126223.94,1935.45,181.8,132281.49,,,,conventional,NewOrleans
2023-01-09,1.352827858,1664185.39,98513.02,921782.43,781.74,557712.47,,,,conventional,NewYork
2023-01-09,0.923015118,611310.67,295585.01,5839.62,17.01,194130.26,,,,conventional,Orlando
2023-01-09,0.854049033,126558.0,41785.35,7339.37,2592.42,35392.77,,,,conventional,PeoriaSpringfield
2023-01-09,1.110836443,580383.31,136704.28,172706.39,11793.45,213263.83,,,,conventional,Philadelphia
2023-01-09,0.817917653,1338150.63,292862.39,170948.54,3799.17,196372.99,,,,conventional,PhoenixTucson
2023-01-09,1.221609739,137256.46,49224.01,16312.34,109.79,41791.41,,,,conventional,Pittsburgh
2023-01-09,1.095823205,608873.63,103950.27,65833.66,5435.65,95410.76,,,,conventional,Portland
2023-01-09,1.342979886,89207.53,3857.56,51612.01,13.23,17209.37,,,,conventional,Providence
2023-01-09,1.196787627,412569.25,132908.0,67691.98,717.99,163009.81,,,,conventional,RaleighGreensboro
2023-01-09,1.035055622,323805.91,93530.93,70503.7,311.27,94823.28,,,,conventional,RichmondNorfolk
2023-01-09,0.935933024,185649.39,57343.88,21727.78,467.95,51329.95,,,,conventional,Roanoke
2023-01-09,1.237178417,474348.07,136493.03,91969.47,441.28,121382.99,,,,conventional,Sacramento
2023-01-09,1.200648537,520145.24,102101.78,8953.18,15131.95,116729.15,,,,conventional,SanDiego
2023-01-09,1.107996988,896915.62,325305.66,74427.85,1390.72,126345.43,,,,conventional,SanFrancisco
2023-01-09,1.180225082,583972.87,82117.64,72113.04,4437.15,89520.05,,,,conventional,Seattle
2023-01-09,1.05214858,521173.74,214372.95,45904.43,338.52,132541.3,,,,conventional,SouthCarolina
2023-01-09,0.980726495,92737.45,20151.66,11797.74,5.67,20468.64,,,,conventional,Spokane
2023-01-09,0.875629953,234880.11,93452.75,5302.5,10.39,64433.32,,,,conventional,StLouis
2023-01-09,1.093436016,84814.68,12341.76,36876.22,261.02,32263.77,,,,conventional,Syracuse
2023-01-09,0.885274124,700023.75,351136.54,5467.35,84.1,198575.39,,,,conventional,Tampa
2023-01-09,0.976691841,133940.41,21584.24,24283.24,4909.65,29908.02,,,,conventional,Toledo
